port,arrival_time,start_time,id,delay_time
12,1320,1470,1,150
12,1280,1550,2,270
2,660,660,3,0
17,120,120,4,0
12,10,10,5,0
4,260,260,6,0
8,1140,3060,7,1920
19,130,130,8,0
9,410,1350,9,940
2,10,10,10,0
9,340,760,11,420
15,790,1000,12,210
7,540,1950,13,1410
16,1350,1780,14,430
0,1040,2460,15,1420
8,1220,3810,16,2590
2,340,2980,17,2640
4,1220,1630,18,410
6,950,2030,19,1080
17,1230,1230,20,0
2,280,350,21,70
10,560,1620,22,1060
19,1340,2300,23,960
4,930,930,24,0
11,1320,1580,25,260
7,120,120,26,0
10,190,190,27,0
12,1340,1790,28,450
9,1170,1700,29,530
6,690,1010,30,320
5,1230,1230,31,0
9,1130,1270,32,140
9,1070,1070,33,0
8,220,990,34,770
10,1110,1180,35,70
19,580,580,36,0
19,600,1440,37,840
4,290,2500,38,2210
6,1150,1590,39,440
15,70,70,40,0
19,1050,1270,41,220
19,650,850,42,200
11,190,190,43,0
9,1190,2090,44,900
15,1210,1800,45,590
3,940,1610,46,670
6,90,90,47,0
8,0,0,48,0
0,370,370,49,0
0,240,240,50,0
2,1080,2050,51,970
4,610,610,52,0
8,720,750,53,30
7,1140,1170,54,30
11,490,490,55,0
8,560,1290,56,730
12,1040,2460,57,1420
8,260,4730,58,4470
16,810,810,59,0
0,900,1190,60,290
0,1260,1680,61,420
3,920,960,62,40
0,1070,1340,63,270
0,520,680,64,160
7,310,310,65,0
3,190,190,66,0
3,690,690,67,0
2,1430,1750,68,320
16,30,30,69,0
9,220,220,70,0
8,240,1790,71,1550
16,1120,1280,72,160
17,630,2330,73,1700
10,730,830,74,100
12,480,1180,75,700
3,1340,1340,76,0
5,380,380,77,0
2,880,1020,78,140
8,550,640,79,90
8,830,2390,80,1560
