port,arrival_time,start_time,id,delay_time
12,1320,1350,1,30
12,1280,1430,2,150
3,660,1000,3,340
1,120,580,4,460
13,10,640,5,630
6,260,350,6,90
8,1140,2360,7,1220
1,130,330,8,200
12,410,650,9,240
6,10,10,10,0
12,340,340,11,0
7,790,1040,12,250
19,540,1270,13,730
16,1350,1890,14,540
14,1040,1830,15,790
8,1220,3110,16,1890
13,340,1810,17,1470
17,1220,1990,18,770
10,950,1410,19,460
1,1230,1690,20,460
0,280,280,21,0
4,560,1780,22,1220
3,1340,1360,23,20
6,930,1710,24,780
15,1320,1460,25,140
19,120,120,26,0
17,190,190,27,0
2,1340,1610,28,270
0,1170,1320,29,150
6,690,690,30,0
5,1230,1230,31,0
9,1130,1130,32,0
12,1070,1150,33,80
14,220,220,34,0
4,1110,1340,35,230
19,580,580,36,0
15,600,600,37,0
4,290,290,38,0
6,1150,1270,39,120
3,70,70,40,0
10,1050,1240,41,190
19,650,850,42,200
19,190,190,43,0
9,1190,1850,44,660
15,1210,2020,45,810
11,940,1610,46,670
10,90,90,47,0
13,0,0,48,0
2,370,370,49,0
2,240,240,50,0
12,1080,1670,51,590
16,610,610,52,0
8,720,950,53,230
7,1140,1840,54,700
18,490,490,55,0
8,560,1190,56,630
0,1040,1710,57,670
14,260,520,58,260
16,810,920,59,110
12,900,1000,60,100
2,1260,2280,61,1020
10,920,1010,62,90
9,1070,1210,63,140
0,520,810,64,290
11,310,310,65,0
1,190,190,66,0
7,690,770,67,80
9,1430,1550,68,120
7,30,30,69,0
9,220,220,70,0
8,240,240,71,0
16,1120,1390,72,270
17,630,830,73,200
9,730,760,74,30
0,480,520,75,40
11,1340,1340,76,0
5,380,380,77,0
2,880,880,78,0
8,550,840,79,290
8,830,1690,80,860
