port,arrival_time,start_time,id,delay_time
13,690,2000,1,1310
3,800,800,2,0
14,130,130,3,0
14,910,2020,4,1110
2,90,90,5,0
5,970,970,6,0
17,240,240,7,0
6,480,480,8,0
14,1400,1440,9,40
7,1220,1220,10,0
11,230,230,11,0
13,1390,1510,12,120
15,980,980,13,0
3,340,340,14,0
4,1050,1050,15,0
9,300,300,16,0
8,980,1170,17,190
10,510,510,18,0
8,1400,1670,19,270
6,870,870,20,0
0,1190,1480,21,290
13,610,610,22,0
0,430,430,23,0
5,70,70,24,0
9,1350,1580,25,230
12,1380,1670,26,290
9,1210,1290,27,80
7,450,450,28,0
12,1010,1010,29,0
0,1060,1060,30,0
4,370,370,31,0
4,170,170,32,0
17,1170,1210,33,40
16,570,570,34,0
2,520,870,35,350
16,1090,1090,36,0
8,220,220,37,0
12,40,40,38,0
14,410,530,39,120
19,280,280,40,0
